Y,ID
3.1,TSCTW_CYN
3.7,TSCTW_CYN
4.7,TSCTW_CYN
3.7,TSCTW_CYN
3.7,TSCTW_CYN
5.6,TSCTW_CYN
4.5,TSCTW_CYN
3.4,TSCTW_CYN
4.0,TSCTW_CYN
3.7,TSCTW_CYN
4.1,TSCTW_CYN
3.3,TSCTW_CYN
4.1,TSCTW_CYN
4.4,TSCTW_CYN
3.3,TSCTW_CYN
4.2,TSCTW_CYN
3.5,TSCTW_CYN
4.0,TSCTW_CYN
4.2,TSCTW_CYN
3.6,TSCTW_CYN
3.2,TSCTW_CYN
3.4,TSCTW_CYN
4.5,TSCTW_CYN
3.5,TSCTW_CYN
3.9,TSCTW_CYN
4.4,TSCTW_CYN
4.0,TSCTW_CYN
2.5,TSCTW_CYN
3.2,TSCTW_CYN
2.9,TSCTW_CYN
4.6,TSCTW_CYN
3.0,TSCTW_CYN
3.4,TSCTW_CYN
3.8,TSCTW_CYN
3.7,TSCTW_CYN
3.2,TSCTW_CYN
2.6,TSCTW_CYN
4.2,TSCTW_CYN
2.2,TSYNTWQ_NZN
3.0,TSYNTWQ_NZN
2.8,TSYNTWQ_NZN
2.8,TSYNTWQ_NZN
1.7,TSYNTWQ_NZN
3.1,TSYNTWQ_NZN
2.6,TSYNTWQ_NZN
1.8,TSYNTWQ_NZN
2.2,TSYNTWQ_NZN
2.3,TSYNTWQ_NZN
2.2,TSYNTWQ_NZN
1.6,TSYNTWQ_NZN
2.7,TSYNTWQ_NZN
3.0,TSYNTWQ_NZN
1.7,TSYNTWQ_NZN
2.3,TSYNTWQ_NZN
1.6,TSYNTWQ_NZN
2.4,TSYNTWQ_NZN
3.1,TSYNTWQ_NZN
2.4,TSYNTWQ_NZN
1.9,TSYNTWQ_NZN
1.9,TSYNTWQ_NZN
3.4,TSYNTWQ_NZN
1.9,TSYNTWQ_NZN
1.3,TSYNTWQ_NZN
2.1,TSYNTWQ_NZN
2.4,TSYNTWQ_NZN
2.5,TSYNTWQ_NZN
0.8,TSYNTWQ_NZN
2.7,TSYNTWQ_NZN
5.4,TLXTFAC_TWN
4.5,TLXTFAC_TWN
3.9,TLXTFAC_TWN
4.8,TLXTFAC_TWN
3.1,TLXTFAC_TWN
3.1,TLXTFAC_TWN
3.0,TLXTFAC_TWN
4.3,TLXTFAC_TWN
3.0,TLXTFAC_TWN
2.9,TLXTFAC_TWN
3.7,TLXTFAC_TWN
4.5,TLXTFAC_TWN
3.3,TLXTFAC_TWN
3.7,TLXTFAC_TWN
4.7,TLXTFAC_TWN
4.2,TLXTFAC_TWN
3.1,TLXTFAC_TWN
2.4,TLXTFAC_TWN
4.4,TLXTFAC_TWN
3.6,TLXTFAC_TWN
3.7,TLXTFAC_TWN
4.2,TLXTFAC_TWN
4.3,TLXTFAC_TWN
2.1,TLXTFAC_TWN
2.9,TLXTFAC_TWN
2.6,TLXTFAC_TWN
2.9,TLXTFAC_TWN
3.2,TLXTFAC_TWN
3.6,TLXTFAC_TWN
4.8,TLXTFAC_TWN
4.8,TLXTFAC_TWN
3.8,TLXTFAC_TWN
4.1,TLXTFAC_TWN
3.7,TLXTFAC_TWN
4.5,TLXTFAC_TWN
2.7,TLXTFAC_TWN
2.4,TLXTFAC_TWN
4.0,TLXTFAC_TWN
3.4,TLXTFAC_TWN
3.5,TLXTFAC_TWN
3.6,TLXTFAC_TWN
3.2,TLXTFAC_TWN
3.9,TLXTFAC_TWN
2.4,TLXTFAC_TWN
3.2,TLXTFAC_TWN
5.1,TLXTFAC_TWN
3.3,TLXTFAC_TWN
2.8,TLXTFAC_TWN
4.2,TLXTFAC_TWN
3.3,TLXTFAC_TWN
3.5,TLXTFAC_TWN
3.4,TLXTFAC_TWN
5.0,TLXTFAC_TWN
3.1,TLXTFAC_TWN
2.6,TLXTFAC_TWN
4.1,TLXTFAC_TWN
3.6,TLXTFAC_TWN
4.4,TLXTFAC_TWN
4.5,TLXTFAC_TWN
4.5,TLXTFAC_TWN
4.3,TLXTFAC_TWN
5.0,TLXTFAC_TWN
3.3,TLXTFAC_TWN
4.1,TLXTFAC_TWN
4.0,TLXTFAC_TWN
3.1,TLXTFAC_TWN
4.6,TLXTFAC_TWN
3.5,TLXTFAC_TWN
3.6,TLXTFAC_TWN
3.3,TLXTFAC_TWN
2.5,TLXTFAC_TWN
4.0,TLXTFAC_TWN
4.1,TLXTFAC_TWN
5.0,TLXTFAC_TWN
3.8,TLXTFAC_TWN
3.9,TLXTFAC_TWN
5.2,TLXTFAC_TYN
3.9,TLXTFAC_TYN
2.5,TLXTFAC_TYN
4.2,TLXTFAC_TYN
2.3,TLXTFAC_TYN
3.1,TLXTFAC_TYN
3.9,TLXTFAC_TYN
3.8,TLXTFAC_TYN
2.8,TLXTFAC_TYN
3.6,TLXTFAC_TYN
3.0,TLXTFAC_TYN
4.0,TLXTFAC_TYN
3.8,TLXTFAC_TYN
2.7,TLXTFAC_TYN
4.2,TLXTFAC_TYN
4.5,TLXTFAC_TYN
4.5,TLXTFAC_TYN
2.9,TLXTFAC_TYN
3.3,TLXTFAC_TYN
3.4,TLXTFAC_TYN
3.3,TLXTFAC_TYN
2.9,TLXTFAC_TYN
2.8,TLXTFAC_TYN
3.9,TLXTFAC_TYN
4.9,TLXTFAC_TYN
3.0,TLXTFAC_TYN
3.7,TLXTFAC_TYN
4.3,TLXTFAC_TYN
3.5,TLXTFAC_TYN
3.2,TLXTFAC_TYN
2.8,TLXTFAC_TYN
4.2,TLXTFAC_TYN
3.9,TLXTFAC_TYN
3.7,TLXTFAC_TYN
3.0,TLXTFAC_TYN
3.5,TLXTFAC_TYN
4.8,TLXTFAC_TYN
3.4,TLXTFAC_TYN
3.6,TLXTFAC_TYN
2.9,TLXTFAC_TYN
3.6,TLXTFAC_TYN
4.0,TLXTFAC_TYN
2.7,TLXTFAC_TYN
4.3,TLXTFAC_TYN
2.6,TLXTFAC_TYN
3.3,TLXTFAC_TYN
4.5,TLXTFAC_TYN
2.6,TLXTFAC_TYN
3.7,TLXTFAC_TYN
3.5,TLXTFAC_TYN
3.2,TLXTFAC_TYN
3.6,TLXTFAC_TYN
2.7,TLXTFAC_TYN
3.2,TLXTFAC_TYN
3.6,TLXTFAC_TYN
3.2,TLXTFAC_TYN
2.6,TLXTFAC_TYN
3.5,TLXTFAC_TYN
2.4,TLXTFAC_TYN
3.9,TLXTFAC_TYN
2.4,TLXTFAC_TYN
3.9,TLXTFAC_TYN
3.4,TLXTFAC_TYN
2.9,TLXTFAC_TYN
2.2,TLXTFAC_TYN
3.3,TLXTFAC_TYN
3.0,TLXTFAC_TYN
2.5,TLXTFAC_TYN
3.6,TLXTFAC_TYN
4.8,TLXTFAC_TYN
3.9,TLXTFAC_TYN
2.9,TLXTFAC_TYN
2.7,TLXTFAC_TYN
3.4,TLXTFAC_TYN
4.0,TLXTFAC_TYN
3.5,TLXTFAC_TYN
4.2,TLXTFAC_TYN
4.3,TLXTFAC_TYN
2.3,TLXTFAC_TYN
4.1,TLXTFAC_TYN
3.6,TLXTFAC_TYN
3.2,TLXTFAC_TYN
2.5,TLXTFAC_TYN
